kind	name	category	signature	module	doc
class	AnimatedBoundary	animation/changing	(vmobject: 'VMobject', colors: 'Sequence[ParsableManimColor]' = [ManimColor('#29ABCA'), ManimColor('#9CDCEB'), ManimColor('#236B8E'), ManimColor('#736357')], max_stroke_width: 'float' = 3, cycle_rate: 'float' = 0.5, back_and_forth: 'bool' = True, draw_rate_func: 'RateFunction' = <function smooth at 0x713b879e5e40>, fade_rate_func: 'RateFunction' = <function smooth at 0x713b879e5e40>, **kwargs: 'Any')	manim.animation.changing	Boundary of a :class:`.VMobject` with animated color change.
constant	BLUE_B	animation/changing	ManimColor('#9CDCEB')	manim.animation.changing	
constant	BLUE_D	animation/changing	ManimColor('#29ABCA')	manim.animation.changing	
constant	BLUE_E	animation/changing	ManimColor('#236B8E')	manim.animation.changing	
constant	GREY_BROWN	animation/changing	ManimColor('#736357')	manim.animation.changing	
class	TracedPath	animation/changing	(traced_point_func: 'Callable', stroke_width: 'float' = 2, stroke_color: 'ParsableManimColor | None' = ManimColor('#FFFFFF'), dissipating_time: 'float | None' = None, **kwargs: 'Any') -> 'None'	manim.animation.changing	Traces the path of a point returned by a function call.
constant	WHITE	animation/changing	ManimColor('#FFFFFF')	manim.animation.changing	
class	AnimationGroup	animation/composition	(*animations: 'Animation | Iterable[Animation]', group: 'Group | VGroup | OpenGLGroup | OpenGLVGroup | None' = None, run_time: 'float | None' = None, rate_func: 'Callable[[float], float]' = <function linear at 0x713b879e5d00>, lag_ratio: 'float' = 0, **kwargs: 'Any')	manim.animation.composition	Plays a group or series of :class:`~.Animation`.
constant	DEFAULT_LAGGED_START_LAG_RATIO	animation/composition	0.05	manim.animation.composition	
class	LaggedStart	animation/composition	(*animations: 'Animation', lag_ratio: 'float' = 0.05, **kwargs: 'Any')	manim.animation.composition	Adjusts the timing of a series of :class:`~.Animation` according to ``lag_ratio``.
class	LaggedStartMap	animation/composition	(animation_class: 'type[Animation]', mobject: 'Mobject', arg_creator: 'Callable[[Mobject], Iterable[Any]] | None' = None, run_time: 'float' = 2, lag_ratio: 'float' = 0.05, **kwargs: 'Any')	manim.animation.composition	Plays a series of :class:`~.Animation` while mapping a function to submobjects.
class	Succession	animation/composition	(*animations: 'Animation', lag_ratio: 'float' = 1, **kwargs: 'Any')	manim.animation.composition	Plays a series of animations in succession.
constant	TYPE_CHECKING	animation/composition	False	manim.animation.composition	
class	Add	animation/core	(*mobjects: 'Mobject', run_time: 'float' = 0.0, **kwargs: 'Any') -> 'None'	manim.animation.animation	Add Mobjects to a scene, without animating them in any other way. This
class	Animation	animation/core	(mobject=None, *args, use_override=True, **kwargs) -> 'Self'	manim.animation.animation	An animation.
constant	DEFAULT_ANIMATION_LAG_RATIO	animation/core	0.0	manim.animation.animation	
constant	DEFAULT_ANIMATION_RUN_TIME	animation/core	1.0	manim.animation.animation	
constant	TYPE_CHECKING	animation/core	False	manim.animation.animation	
class	Wait	animation/core	(run_time: 'float' = 1, stop_condition: 'Callable[[], bool] | None' = None, frozen_frame: 'bool | None' = None, rate_func: 'Callable[[float], float]' = <function linear at 0x713b879e5d00>, **kwargs)	manim.animation.animation	A "no operation" animation.
function	override_animation	animation/core	(animation_class: 'type[Animation]') -> 'Callable[[Callable], Callable]'	manim.animation.animation	Decorator used to mark methods as overrides for specific :class:`~.Animation` types.
function	prepare_animation	animation/core	(anim: 'Animation | mobject._AnimationBuilder | opengl_mobject._AnimationBuilder') -> 'Animation'	manim.animation.animation	Returns either an unchanged animation, or the animation built
