kind	name	category	signature	module	doc
class	AnimationGroup	animation/composition	(*args: 'AnimationType | Iterable[AnimationType]', run_time: 'float' = -1, lag_ratio: 'float' = 0.0, group: 'Optional[Mobject]' = None, group_type: 'Optional[type]' = None, **kwargs)	manimlib.animation.composition	
constant	DEFAULT_LAGGED_START_LAG_RATIO	animation/composition	0.05	manimlib.animation.composition	
class	LaggedStart	animation/composition	(*animations, lag_ratio: 'float' = 0.05, **kwargs)	manimlib.animation.composition	
class	LaggedStartMap	animation/composition	(anim_func: 'Callable[[Mobject], Animation]', group: 'Mobject', run_time: 'float' = 2.0, lag_ratio: 'float' = 0.05, **kwargs)	manimlib.animation.composition	
class	Succession	animation/composition	(*animations: 'Animation', lag_ratio: 'float' = 1.0, **kwargs)	manimlib.animation.composition	
constant	TYPE_CHECKING	animation/composition	False	manimlib.animation.composition	
class	Animation	animation/core	(mobject: 'Mobject', run_time: 'float' = 1.0, time_span: 'tuple[float, float] | None' = None, lag_ratio: 'float' = 0, rate_func: 'Callable[[float], float]' = <function smooth at 0x7f6ff39332e0>, name: 'str' = '', remover: 'bool' = False, final_alpha_value: 'float' = 1.0, suspend_mobject_updating: 'bool' = False)	manimlib.animation.animation	
constant	DEFAULT_ANIMATION_LAG_RATIO	animation/core	0	manimlib.animation.animation	
constant	DEFAULT_ANIMATION_RUN_TIME	animation/core	1.0	manimlib.animation.animation	
class	MaintainPositionRelativeTo	animation/core	(mobject: 'Mobject', tracked_mobject: 'Mobject', **kwargs)	manimlib.animation.update	
constant	TYPE_CHECKING	animation/core	False	manimlib.animation.animation	
constant	TYPE_CHECKING	animation/core	False	manimlib.animation.update	
class	UpdateFromAlphaFunc	animation/core	(mobject: 'Mobject', update_function: 'Callable[[Mobject, float], Mobject | None]', suspend_mobject_updating: 'bool' = False, **kwargs)	manimlib.animation.update	
class	UpdateFromFunc	animation/core	(mobject: 'Mobject', update_function: 'Callable[[Mobject], Mobject | None]', suspend_mobject_updating: 'bool' = False, **kwargs)	manimlib.animation.update	update_function of the form func(mobject), presumably
function	prepare_animation	animation/core	(anim: 'Animation | _AnimationBuilder')	manimlib.animation.animation	
class	AddTextWordByWord	animation/creation	(string_mobject: 'StringMobject', time_per_word: 'float' = 0.2, run_time: 'float' = -1.0, rate_func: 'Callable[[float], float]' = <function linear at 0x7f6ff3932de0>, **kwargs)	manimlib.animation.creation	
class	DrawBorderThenFill	animation/creation	(vmobject: 'VMobject', run_time: 'float' = 2.0, rate_func: 'Callable[[float], float]' = <function double_smooth at 0x7f6ff3933560>, stroke_width: 'float' = 2.0, stroke_color: 'ManimColor' = None, draw_border_animation_config: 'dict' = {}, fill_animation_config: 'dict' = {}, **kwargs)	manimlib.animation.creation	
class	ShowCreation	animation/creation	(mobject: 'Mobject', lag_ratio: 'float' = 1.0, **kwargs)	manimlib.animation.creation	Abstract class for ShowCreation and ShowPassingFlash
class	ShowIncreasingSubsets	animation/creation	(group: 'Mobject', int_func: 'Callable[[float], float]' = <function round at 0x7f70bacdce70>, suspend_mobject_updating: 'bool' = False, **kwargs)	manimlib.animation.creation	
class	ShowPartial	animation/creation	(mobject: 'Mobject', should_match_start: 'bool' = False, **kwargs)	manimlib.animation.creation	Abstract class for ShowCreation and ShowPassingFlash
class	ShowSubmobjectsOneByOne	animation/creation	(group: 'Mobject', int_func: 'Callable[[float], float]' = <ufunc 'ceil'>, **kwargs)	manimlib.animation.creation	
constant	TYPE_CHECKING	animation/creation	False	manimlib.animation.creation	
class	Uncreate	animation/creation	(mobject: 'Mobject', rate_func: 'Callable[[float], float]' = <function Uncreate.<lambda> at 0x7f6ff2df0540>, remover: 'bool' = True, should_match_start: 'bool' = True, **kwargs)	manimlib.animation.creation	Abstract class for ShowCreation and ShowPassingFlash
class	Write	animation/creation	(vmobject: 'VMobject', run_time: 'float' = -1, lag_ratio: 'float' = -1, rate_func: 'Callable[[float], float]' = <function linear at 0x7f6ff3932de0>, stroke_color: 'ManimColor' = None, **kwargs)	manimlib.animation.creation	
class	Fade	animation/fading	(mobject: 'Mobject', shift: 'np.ndarray' = array([0., 0., 0.]), scale: 'float' = 1, **kwargs)	manimlib.animation.fading	
class	FadeIn	animation/fading	(mobject: 'Mobject', shift: 'np.ndarray' = array([0., 0., 0.]), scale: 'float' = 1, **kwargs)	manimlib.animation.fading	
class	FadeInFromPoint	animation/fading	(mobject: 'Mobject', point: 'Vect3', **kwargs)	manimlib.animation.fading	
class	FadeOut	animation/fading	(mobject: 'Mobject', shift: 'Vect3' = array([0., 0., 0.]), remover: 'bool' = True, final_alpha_value: 'float' = 0.0, **kwargs)	manimlib.animation.fading	
class	FadeOutToPoint	animation/fading	(mobject: 'Mobject', point: 'Vect3', **kwargs)	manimlib.animation.fading	
class	FadeTransform	animation/fading	(mobject: 'Mobject', target_mobject: 'Mobject', stretch: 'bool' = True, dim_to_match: 'int' = 1, **kwargs)	manimlib.animation.fading	
